Function,Header,Status,Prototype exists,Implemented in,Doom call sites,Files,Behavioural difference / notes
mkdir,sys/stat.h,MISSING,yes,-,2,m_misc (M_MakeDirectory),Reached from m_config when it wants a config/savegame directory. There are no directories; a no-op returning 0 is probably the right answer.
strdup,string.h,MISSING,NO,-,9,d_iwad d_main m_config m_misc,NO PROTOTYPE -> implicitly declared int -> the returned char* is TRUNCATED TO 32 BITS on assignment. 3 files warn today. Trivial to implement (strlen+malloc+memcpy) but the prototype matters more than the body.
strncmp,string.h,MISSING,NO,-,5,d_main m_misc w_wad,"NO PROTOTYPE. Returns int, so no truncation, but still unchecked. Trivial to implement alongside strcmp."
strrchr,string.h,MISSING,NO,-,3,d_iwad d_main m_argv,NO PROTOTYPE -> pointer truncated to 32 bits. Used for path/extension splitting. Trivial.
strstr,string.h,MISSING,NO,-,3,d_iwad m_misc,NO PROTOTYPE -> pointer truncated to 32 bits.
calloc,stdlib.h,MISSING,NO,-,1,w_wad,"NO PROTOTYPE -> pointer truncated to 32 bits. malloc+memset, but must check size*nmemb for overflow, which malloc alone does not."
atof,stdlib.h,MISSING,NO,-,1,m_config,"NO PROTOTYPE -> implicitly int, so the double return is read from the wrong place entirely. Only DEFAULT_FLOAT config parsing needs it; see the SSE note."
exit,stdlib.h,MISSING,NO,-,12,d_main i_system m_argv mus2mid,"NO PROTOTYPE. Cannot return, so the declaration needs _Noreturn or callers get 'may be used uninitialized' noise. Maps naturally onto exo_exit (SCRUM-155) rather than a libc exit."
system,stdlib.h,MISSING,NO,-,2,i_system,NO PROTOTYPE. There is no shell and never will be; returning -1 is the honest implementation.
DG_Init,doomgeneric.h,PLATFORM,yes,-,1,doomgeneric,SCRUM-73. Not libc -- the port supplies these six.
DG_DrawFrame,doomgeneric.h,PLATFORM,yes,-,1,i_video,SCRUM-75-ish: blit DG_ScreenBuffer to the framebuffer via exo_fb_acquire.
DG_GetKey,doomgeneric.h,PLATFORM,yes,-,1,i_input,Needs the keyboard syscall; kbd_ring exists kernel-side.
DG_SetWindowTitle,doomgeneric.h,PLATFORM,yes,-,1,i_video,"No windows. A no-op, or a serial line."
DG_GetTicksMs,doomgeneric.h,PLATFORM,yes,-,1,i_timer,SCRUM-74 -- exo_get_ticks (#5) is already bound.
DG_SleepMs,doomgeneric.h,PLATFORM,yes,-,1,i_timer,SCRUM-74 -- spin on exo_get_ticks; there is no blocking sleep syscall.
getenv,stdlib.h,DEAD,no,-,3,d_iwad m_misc,"d_iwad's uses are inside #if ORIGCODE (config.h #undefs it); m_misc's is inside #if defined(_WIN32). Never reaches the object file. No environment exists, so this is the right outcome."
abort,stdlib.h,DEAD,no,-,1,i_system,The one call site is commented out.
tolower,ctype.h,DEAD,yes,src/ctype.c,1,i_input,"Implemented and available, but i_input's only call is commented out. Reached indirectly through strcasecmp."
isspace,ctype.h,DEAD,yes,src/ctype.c,4,d_main m_argv,"Implemented. m_argv's uses are inside #if ORIGCODE; d_main's are in a branch guarded by deh_sub != banners[i], which cannot be true because DEH_String(x) is #defined to (x) with FEATURE_DEHACKED off -- so GCC eliminates the block."
memmove,string.h,DEAD,yes,src/string.c,2,d_main m_config,Implemented and correct (handles overlap in both directions). Same dead dehacked branch as isspace.
feof,stdio.h,DEAD,NO,-,1,m_config,"The single call site is inside LoadDefaultCollection, whose body the build compiles out (its 'collection' parameter goes unused, which is how the warning surfaces). Never reaches the object file -- unlike the rest of the stdio family, nothing references it."
isalpha,ctype.h,DEAD,yes,src/ctype.c,0,-,Implemented; Doom never calls it.
isdigit,ctype.h,DEAD,yes,src/ctype.c,0,-,Implemented; Doom never calls it.
memcmp,string.h,DEAD,yes,src/string.c,0,-,Implemented; Doom never calls it.
strcat,string.h,DEAD,yes,src/string.c,0,-,Implemented (unbounded -- caller must size dest); Doom never calls it.
qsort,stdlib.h,DEAD,yes,src/stdlib.c,0,-,"Implemented (three-way Bentley-McIlroy, recurses only into the smaller partition); Doom never calls it."
rand,stdlib.h,DEAD,yes,src/stdlib.c,0,-,"Implemented; Doom uses its own M_Random tables, not rand."
srand,stdlib.h,DEAD,yes,src/stdlib.c,0,-,Implemented; Doom never calls it.
